Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3AGG_embedding,0.9258210645526613,0.8980747451868629,0.9535673839184597,0.9508393285371702,0.8980747451868629,0.9237041351193942,0.8529564528327819,0.9258210645526613,0.81047887,0.13023584,0.35901478,1.1767724,0.60135823,883,793,90,842,41,0.8980747451868629,0.0464326160815402
mimic_GPT4TAGG_embedding,0.9173272933182333,0.8980747451868629,0.9365798414496036,0.934040047114252,0.8980747451868629,0.9157043879907621,0.8352740226789509,0.9173272933182333,0.8183685,0.13339238,0.4897362,1.1848826,0.60135823,883,793,90,827,56,0.8980747451868629,0.06342015855039637
mimic_GPT4oAGG_embedding,0.9348739495798319,0.8977591036414566,0.9719887955182073,0.9697428139183056,0.8977591036414566,0.9323636363636364,0.8721540230994299,0.9348739495798319,0.86715007,0.13773222,0.50033194,1.1807072,0.60135823,714,641,73,694,20,0.8977591036414566,0.028011204481792718
topic_GPT3AGG_embedding,0.9309173272933182,0.8980747451868629,0.9637599093997735,0.9612121212121212,0.8980747451868629,0.9285714285714285,0.8636999029180118,0.9309173272933182,0.8872988,0.15340145,0.38183784,1.3644754,0.60135823,883,793,90,851,32,0.8980747451868629,0.0362400906002265
topic_GPT4TAGG_embedding,0.927519818799547,0.8980747451868629,0.956964892412231,0.9542719614921781,0.8980747451868629,0.9253208868144691,0.8565261650998975,0.9275198187995469,0.8729795,0.15938888,0.46288705,1.3520042,0.60135823,883,793,90,845,38,0.8980747451868629,0.04303510758776897
topic_GPT4oAGG_embedding,0.9394110985277463,0.8980747451868629,0.9807474518686297,0.9790123456790123,0.8980747451868629,0.9367985823981098,0.8818409569303883,0.9394110985277463,0.91459066,0.16512327,0.42547017,1.3726426,0.60135823,883,793,90,866,17,0.8980747451868629,0.01925254813137033
