Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3ABB_embedding,0.9213483146067416,0.8848314606741573,0.9578651685393258,0.9545454545454546,0.8848314606741573,0.9183673469387756,0.8449530993633615,0.9213483146067415,0.8316328,0.12525053,0.414238,1.1383055,0.60135823,356,315,41,341,15,0.8848314606741573,0.042134831460674156
mimic_GPT4TABB_embedding,0.9213483146067416,0.8848314606741573,0.9578651685393258,0.9545454545454546,0.8848314606741573,0.9183673469387756,0.8449530993633615,0.9213483146067415,0.8667704,0.14447519,0.47559392,1.2457392,0.60135823,356,315,41,341,15,0.8848314606741573,0.042134831460674156
mimic_GPT4oABB_embedding,0.9131205673758865,0.8865248226950354,0.9397163120567376,0.9363295880149812,0.8865248226950354,0.9107468123861566,0.827412477219101,0.9131205673758864,0.85491586,0.1499409,0.36810103,1.2059431,0.60135823,282,250,32,265,17,0.8865248226950354,0.06028368794326241
topic_GPT3ABB_embedding,0.8974719101123596,0.8848314606741573,0.9101123595505618,0.9077809798270894,0.8848314606741573,0.8961593172119487,0.7951979758355563,0.8974719101123595,0.759919,0.12551317,0.45702043,1.0951504,0.60135823,356,315,41,324,32,0.8848314606741573,0.0898876404494382
topic_GPT4TABB_embedding,0.8848314606741573,0.8848314606741573,0.8848314606741573,0.8848314606741573,0.8848314606741573,0.8848314606741573,0.7696629213483146,0.8848314606741572,0.76282907,0.1320715,0.44898555,1.1437907,0.60135823,356,315,41,315,41,0.8848314606741573,0.1151685393258427
topic_GPT4oABB_embedding,0.8806179775280899,0.8848314606741573,0.8764044943820225,0.8774373259052924,0.8848314606741573,0.881118881118881,0.7612629856098904,0.8806179775280898,0.77031606,0.14200455,0.422349,1.1752372,0.60135823,356,315,41,312,44,0.8848314606741573,0.12359550561797752
