Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3ABB_embedding,0.9326923076923077,0.9038461538461539,0.9615384615384616,0.9591836734693877,0.9038461538461539,0.9306930693069307,0.8668283945955969,0.9326923076923076,0.8022108,0.12100596,0.46333113,1.0547155,0.60135823,52,47,5,50,2,0.9038461538461539,0.038461538461538464
mimic_GPT4TABB_embedding,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.9038461538461539,0.8076923076923077,0.9038461538461537,0.82470155,0.14808948,0.5576124,1.1993977,0.60135823,52,47,5,47,5,0.9038461538461539,0.09615384615384616
mimic_GPT4oABB_embedding,0.9146341463414634,0.9024390243902439,0.926829268292683,0.925,0.9024390243902439,0.9135802469135802,0.8295150620062531,0.9146341463414633,0.8200891,0.15136977,0.5212168,1.0822302,0.60135823,41,37,4,38,3,0.9024390243902439,0.07317073170731707
topic_GPT3ABB_embedding,0.8846153846153846,0.9038461538461539,0.8653846153846154,0.8703703703703703,0.9038461538461539,0.8867924528301887,0.769800358919501,0.8846153846153846,0.7266749,0.12635899,0.46951193,1.096019,0.60135823,52,47,5,45,7,0.9038461538461539,0.1346153846153846
topic_GPT4TABB_embedding,0.8557692307692307,0.9038461538461539,0.8076923076923077,0.8245614035087719,0.9038461538461539,0.8623853211009175,0.7148507337073217,0.8557692307692307,0.7325009,0.14178467,0.41227177,1.0581819,0.60135823,52,47,5,42,10,0.9038461538461539,0.19230769230769232
topic_GPT4oABB_embedding,0.8653846153846154,0.9038461538461539,0.8269230769230769,0.8392857142857143,0.9038461538461539,0.8703703703703703,0.7329409123199366,0.8653846153846153,0.7169473,0.14316402,0.38671964,1.0819342,0.60135823,52,47,5,43,9,0.9038461538461539,0.17307692307692307
