Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3ABB_embedding,0.9423076923076923,0.9230769230769231,0.9615384615384616,0.96,0.9230769230769231,0.9411764705882353,0.8852704127574261,0.9423076923076923,0.8022108,0.12100596,0.46333113,1.0547155,0.60135823,52,48,4,50,2,0.9230769230769231,0.038461538461538464
mimic_GPT4TABB_embedding,0.9134615384615384,0.9230769230769231,0.9038461538461539,0.9056603773584906,0.9230769230769231,0.9142857142857143,0.8270760267212818,0.9134615384615384,0.82470155,0.14808948,0.5576124,1.1993977,0.60135823,52,48,4,47,5,0.9230769230769231,0.09615384615384616
mimic_GPT4oABB_embedding,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.926829268292683,0.8536585365853658,0.9268292682926829,0.8200891,0.15136977,0.5212168,1.0822302,0.60135823,41,38,3,38,3,0.926829268292683,0.07317073170731707
topic_GPT3ABB_embedding,0.8942307692307693,0.9230769230769231,0.8653846153846154,0.8727272727272727,0.9230769230769231,0.897196261682243,0.789776981742655,0.8942307692307693,0.7266749,0.12635899,0.46951193,1.096019,0.60135823,52,48,4,45,7,0.9230769230769231,0.1346153846153846
topic_GPT4TABB_embedding,0.8653846153846154,0.9230769230769231,0.8076923076923077,0.8275862068965517,0.9230769230769231,0.8727272727272727,0.735682938029248,0.8653846153846154,0.7325009,0.14178467,0.41227177,1.0581819,0.60135823,52,48,4,42,10,0.9230769230769231,0.19230769230769232
topic_GPT4oABB_embedding,0.875,0.9230769230769231,0.8269230769230769,0.8421052631578947,0.9230769230769231,0.8807339449541285,0.7534913139077175,0.875,0.7169473,0.14316402,0.38671964,1.0819342,0.60135823,52,48,4,43,9,0.9230769230769231,0.17307692307692307
