Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3ABB_embedding,0.8816631130063965,0.8038379530916845,0.9594882729211087,0.952020202020202,0.8038379530916845,0.8716763005780348,0.7727442646889806,0.8816631130063965,0.8212084,0.12347474,0.41209868,1.0923924,0.60135823,469,377,92,450,19,0.8038379530916845,0.04051172707889126
mimic_GPT4TABB_embedding,0.8773987206823027,0.8038379530916845,0.9509594882729211,0.9425,0.8038379530916845,0.8676639815880323,0.7631011859998315,0.8773987206823027,0.86515474,0.14005199,0.510025,1.2209871,0.60135823,469,377,92,446,23,0.8038379530916845,0.04904051172707889
mimic_GPT4oABB_embedding,0.8743455497382199,0.8036649214659686,0.9450261780104712,0.9359756097560976,0.8036649214659686,0.8647887323943662,0.7562856614997469,0.8743455497382199,0.84290653,0.14737804,0.38538224,1.1443592,0.60135823,382,307,75,361,21,0.8036649214659686,0.0549738219895288
topic_GPT3ABB_embedding,0.837953091684435,0.8038379530916845,0.8720682302771855,0.8627002288329519,0.8038379530916845,0.8322295805739516,0.6774849949065558,0.8379530916844349,0.7335947,0.12328973,0.42311212,1.1127306,0.60135823,469,377,92,409,60,0.8038379530916845,0.1279317697228145
topic_GPT4TABB_embedding,0.8304904051172708,0.8038379530916845,0.8571428571428571,0.8490990990990991,0.8038379530916845,0.8258488499452356,0.6619218758430009,0.8304904051172708,0.7421043,0.1298959,0.40255576,1.0953344,0.60135823,469,377,92,402,67,0.8038379530916845,0.14285714285714285
topic_GPT4oABB_embedding,0.8390191897654584,0.8038379530916845,0.8742004264392325,0.8646788990825688,0.8038379530916845,0.8331491712707182,0.6797230802098364,0.8390191897654584,0.745347,0.135882,0.38347343,1.1633633,0.60135823,469,377,92,410,59,0.8038379530916845,0.1257995735607676
