Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3AGG_embedding,0.9390243902439024,0.9219512195121952,0.9560975609756097,0.9545454545454546,0.9219512195121952,0.9379652605459058,0.8785611189861341,0.9390243902439024,0.8069178,0.13026264,0.38931793,1.1441454,0.60135823,205,189,16,196,9,0.9219512195121952,0.04390243902439024
mimic_GPT4TAGG_embedding,0.9317073170731708,0.9219512195121952,0.9414634146341463,0.9402985074626866,0.9219512195121952,0.9310344827586208,0.8635790431896322,0.9317073170731707,0.81356037,0.13429074,0.50579506,1.1650388,0.60135823,205,189,16,193,12,0.9219512195121952,0.05853658536585366
mimic_GPT4oAGG_embedding,0.9461077844311377,0.9221556886227545,0.9700598802395209,0.9685534591194969,0.9221556886227545,0.9447852760736196,0.8932410675019692,0.9461077844311377,0.86486334,0.13843554,0.5090037,1.1577568,0.60135823,167,154,13,162,5,0.9221556886227545,0.029940119760479042
topic_GPT3AGG_embedding,0.9439024390243902,0.9219512195121952,0.9658536585365853,0.9642857142857143,0.9219512195121952,0.942643391521197,0.8886617051320622,0.9439024390243902,0.8853694,0.1553807,0.40017676,1.3363329,0.60135823,205,189,16,198,7,0.9219512195121952,0.03414634146341464
topic_GPT4TAGG_embedding,0.9390243902439024,0.9219512195121952,0.9560975609756097,0.9545454545454546,0.9219512195121952,0.9379652605459058,0.8785611189861341,0.9390243902439024,0.87181175,0.1615044,0.48798415,1.3125166,0.60135823,205,189,16,196,9,0.9219512195121952,0.04390243902439024
topic_GPT4oAGG_embedding,0.948780487804878,0.9219512195121952,0.975609756097561,0.9742268041237113,0.9219512195121952,0.9473684210526315,0.8988559186995088,0.948780487804878,0.91388804,0.16796118,0.44575587,1.3457295,0.60135823,205,189,16,200,5,0.9219512195121952,0.024390243902439025
