Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3AGG_embedding,0.9029126213592233,0.8529819694868238,0.9528432732316228,0.9476117103235747,0.8529819694868238,0.8978102189781021,0.8098735032669072,0.9029126213592233,0.81564486,0.13084953,0.35992837,1.2032087,0.60135823,1442,1230,212,1374,68,0.8529819694868238,0.047156726768377254
mimic_GPT4TAGG_embedding,0.8984049930651873,0.8529819694868238,0.9438280166435506,0.9382151029748284,0.8529819694868238,0.893570650199782,0.8001185173796952,0.8984049930651873,0.8246166,0.13304722,0.45331553,1.1927568,0.60135823,1442,1230,212,1361,81,0.8529819694868238,0.05617198335644938
mimic_GPT4oAGG_embedding,0.9114853195164075,0.853195164075993,0.9697754749568221,0.9657869012707723,0.853195164075993,0.9060064190738193,0.8286207820717043,0.9114853195164077,0.8702026,0.13777988,0.50251204,1.2002792,0.60135823,1158,988,170,1123,35,0.853195164075993,0.030224525043177894
topic_GPT3AGG_embedding,0.9112343966712899,0.8529819694868238,0.9694868238557559,0.9654631083202512,0.8529819694868238,0.9057437407952871,0.8281081083351721,0.9112343966712899,0.89050126,0.15138824,0.3578311,1.3684473,0.60135823,1442,1230,212,1398,44,0.8529819694868238,0.030513176144244106
topic_GPT4TAGG_embedding,0.9056865464632455,0.8529819694868238,0.9583911234396671,0.9534883720930233,0.8529819694868238,0.9004392386530015,0.815918627198406,0.9056865464632455,0.8749074,0.15727985,0.4504313,1.3613379,0.60135823,1442,1230,212,1382,60,0.8529819694868238,0.04160887656033287
topic_GPT4oAGG_embedding,0.9174757281553398,0.8529819694868238,0.9819694868238558,0.9792993630573248,0.8529819694868238,0.9117865085248331,0.8419852178205263,0.9174757281553398,0.91588354,0.16224597,0.4181546,1.3813282,0.60135823,1442,1230,212,1416,26,0.8529819694868238,0.018030513176144243
