Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3ABB_embedding,0.9081632653061225,0.8571428571428571,0.9591836734693877,0.9545454545454546,0.8571428571428571,0.9032258064516128,0.8206099398622182,0.9081632653061225,0.8182393,0.11740482,0.42139477,1.0682349,0.60135823,245,210,35,235,10,0.8571428571428571,0.04081632653061224
mimic_GPT4TABB_embedding,0.8959183673469387,0.8571428571428571,0.9346938775510204,0.9292035398230089,0.8571428571428571,0.8917197452229298,0.794228645832602,0.8959183673469389,0.8411255,0.1343329,0.5374109,1.1051922,0.60135823,245,210,35,229,16,0.8571428571428571,0.0653061224489796
mimic_GPT4oABB_embedding,0.9104477611940298,0.8557213930348259,0.9651741293532339,0.9608938547486033,0.8557213930348259,0.9052631578947369,0.8258572718602654,0.9104477611940299,0.8351709,0.13909405,0.43063852,1.0908626,0.60135823,201,172,29,194,7,0.8557213930348259,0.03482587064676617
topic_GPT3ABB_embedding,0.8734693877551021,0.8571428571428571,0.889795918367347,0.8860759493670886,0.8571428571428571,0.8713692946058091,0.7473372956515395,0.8734693877551021,0.72764844,0.11459891,0.439171,1.0957352,0.60135823,245,210,35,218,27,0.8571428571428571,0.11020408163265306
topic_GPT4TABB_embedding,0.8551020408163266,0.8571428571428571,0.8530612244897959,0.8536585365853658,0.8571428571428571,0.8553971486761711,0.7102099976089596,0.8551020408163266,0.73209375,0.13009806,0.41048735,1.0666506,0.60135823,245,210,35,209,36,0.8571428571428571,0.1469387755102041
topic_GPT4oABB_embedding,0.8673469387755102,0.8571428571428571,0.8775510204081632,0.875,0.8571428571428571,0.8659793814432989,0.7348469228349535,0.8673469387755103,0.7293289,0.13055263,0.38234428,1.1522622,0.60135823,245,210,35,215,30,0.8571428571428571,0.12244897959183673
