embedding_id,compute_herdans_v,compute_brunets_w,tuldava_ln_ttr,simpsons_index,sichel_s_measure,orlov_sigma,pos_frequencies_pos_frequencies_ADJ,pos_frequencies_pos_frequencies_ADP,pos_frequencies_pos_frequencies_ADV,pos_frequencies_pos_frequencies_AUX,pos_frequencies_pos_frequencies_CCONJ,pos_frequencies_pos_frequencies_DET,pos_frequencies_pos_frequencies_INTJ,pos_frequencies_pos_frequencies_NOUN,pos_frequencies_pos_frequencies_NUM,pos_frequencies_pos_frequencies_PART,pos_frequencies_pos_frequencies_PRON,pos_frequencies_pos_frequencies_PROPN,pos_frequencies_pos_frequencies_PUNCT,pos_frequencies_pos_frequencies_SCONJ,pos_frequencies_pos_frequencies_SYM,pos_frequencies_pos_frequencies_VERB,pos_frequencies_pos_frequencies_X,yules_k_characteristic,honores_r,renyis_entropy,perplexity,burstiness,hapax_dislegomena_rate,dugast_vmi,average_word_length,prosodic_patterns,compute_inversion_frequencies_classic_inversion,compute_inversion_frequencies_expletive_inversion,compute_inversion_frequencies_emphatic_inversion,clauses_per_sentence,modifiers_per_noun_phrase,coordinated_phrases_per_sentence,coordinate_phrases_ratio,sentence_length_variation,clause_length_variation,dependent_clauses_ratio,subordination_index,average_sentence_depth,compute_average_dependency_distance,frazier_depth,branching_factor_for_text,compute_hierarchical_structure_complexity,compute_yngve_depth,long_word_rate,short_word_rate,lexical_density,calculate_embedded_clause_ratio,ratio_of_stressed_syllables,pairwise_variability_index,compute_zipfian_loss,frequent_delimiters_rate,preposition_usage_in,preposition_usage_of,preposition_usage_to,preposition_usage_for,preposition_usage_with,preposition_usage_on,preposition_usage_at,preposition_usage_by,preposition_usage_from,preposition_usage_up,preposition_usage_about,preposition_usage_into,preposition_usage_over,preposition_usage_after,lessfrequent_delimiters_rate,parentheticals_and_brackets_rate,calculate_cumulative_syntactic_complexity,average_syntactic_branching_factor,calculate_structural_complexity_index,lexical_overlap,analyze_passiveness_average_passiveness,analyze_passiveness_std_passiveness,ratio_of_cleft_sentences,calculate_noun_overlap,pronoun_sentence_opening_ratio,calculate_fronted_adverbial_ratio,rare_words_ratio,summer_index,dale_chall_complex_words_rate,guirauds_index,syll_per_word,average_sentence_length,normalized_alliteration,tempo_variation,rhythmic_complexity,complex_words_rate,detailed_conjunctions_usage_coordinating,detailed_conjunctions_usage_subordinating,detailed_conjunctions_usage_correlative,auxiliary_infipart_modals_usage_rate_1,auxiliary_infipart_modals_usage_rate_2,auxiliary_infipart_modals_usage_rate_3,auxiliary_infipart_modals_usage_rate_4,sentence_type_ratio_simple,sentence_type_ratio_compound,sentence_type_ratio_complex,sentence_type_ratio_compound-complex,figurative_vs_literal_ratio,flesch_reading_ease,GFI,coleman_liau_index,ari,dale_chall_readability_score,lix,smog_index,rix
1,0.0,1.0,0.0,0.318488567410491,0.09982143162848954,0.7786501776157226,0.714880793681466,0.43421316773546276,0.5440044729641502,0.9823039387218833,0.42278077708063294,0.7401647221204716,0.0,0.3655297794319696,0.09521370467254699,0.22691742987083097,0.5566191562826144,0.012746203491669928,0.5522316083606655,0.3760084529077319,0.0,0.5200950903603528,0.0,0.695783535826586,0.0,0.252106302955836,0.17435111775110532,1.0,0.3391584519286932,0.07373706331375686,0.7369253766203246,0.34827748281480325,0.5663018989378821,0.0,0.0,0.2881053320683775,0.9142770962164465,0.29409676617798447,0.4119450222438965,0.34827748281480325,0.3112415900938512,0.3750161557697171,0.562592666098509,0.2688141799559529,0.28505130625677927,0.2688141799559529,0.8428424358590206,0.13917113037256798,0.5246029771414177,0.7608156121026258,0.5094452350439038,0.5431309759700688,0.5520934761441091,0.3672888105230908,0.26672836600188315,0.41346672943170126,0.7777384503018827,0.4232421773693649,0.5773415951940153,0.5202892728003211,0.0,0.3602152357738259,0.0,0.15652287255130926,1.0,0.9767278309637919,0.0,0.0,0.8504784688995215,0.0,0.21052631578947345,0.13808445235398487,0.0,0.4298642533936651,0.37751277683134576,0.33503954910257855,1.0,0.4432105453232215,0.7405888297260221,0.4997232982844495,0.8504246542101431,0.0,0.6935323383084578,0.3332406439332152,1.0,0.34101853377882324,0.09731763013631745,0.7655018360744282,0.3310672402036198,0.22106458420043298,0.3959070112365758,0.9965050750813407,0.5841940773286988,0.34956195146485103,0.4367830462616974,,0.27886915243015287,0.21571168393878576,1.0,1.0,0.4722719141323792,0.2463485881207399,0.8450271432961182,0.3720971235706009,0.23575233403975016,0.20974999999999996,0.375381485249237,0.7974481658692185,0.5172413793103448,0.12313432835820896,0.5663987753539991,0.7246376811594202,0.5681818181818183
2,0.09886840107759613,0.9067818011191336,0.09886840107759613,0.4012460064801289,0.2222725695835899,0.73982119172668,0.6060341273840021,0.6012314018062663,0.747158603763318,0.5723803604309242,0.147032947441098,0.8948820713445016,0.0,0.4096701006441542,0.2525612589466346,0.42507150805279315,0.47624550663976434,0.026371083296611576,0.4438563311044157,0.5797825803868751,0.0,0.5000156146313995,0.0,0.6153866007571891,0.06697177927903494,0.3252595840809553,0.16448217347008254,0.9600915504138845,0.2579724875083765,0.17397347716317968,0.6344061611269527,0.37400294437033815,0.4283978944526928,0.10483870967741928,0.0,0.602711832556965,1.0,0.1763996605981214,0.21350294231650171,0.37400294437033815,0.25191246682814267,0.6066394095643969,0.8082524371895545,0.42751671877955677,0.43645731913538005,0.42751671877955677,0.8717937919388836,0.3669330888156862,0.5714924702476523,0.6404073451721107,0.6341676306139216,0.5796012980155836,0.5916700694160884,0.5888221618823617,0.46853555290929,0.570233133390789,0.5361720607607822,0.12751255693881952,0.7550660571025551,0.45181204708123124,0.0,0.25929603883923646,0.010095087975600568,0.4544238007049407,1.0,0.6808843670514578,0.0,0.0,1.0,0.41052631578947485,0.5789473684210531,0.4309601491493819,0.0,0.5520361990950226,0.5929548826729679,0.44596540386649797,0.9313052632492473,0.11850673936089653,0.19801712711937855,0.43374332791831055,0.8361656660221837,0.298961837233502,0.7950703471887876,0.2552691190341941,0.8756783081386745,0.37140159046106347,0.22004203358125723,0.6969239456353873,0.429040925650123,0.5205556443721544,0.4218945190406108,0.9710223878406907,0.5328992791850669,0.010357724370305089,0.701184964852273,,0.283950502392646,0.2014538203495993,0.656249235969863,0.6473858948691021,0.41157164291072784,0.04695794201714987,0.7916541385679312,0.6024674144960602,0.2007542094011963,0.14899999999999997,0.4862665310274669,0.6666666666666666,0.5517241379310345,0.19402985074626847,0.5947187141216991,0.7391304347826086,0.5984848484848485
3,0.0,1.0,0.0,0.4745491782609081,0.12438937818123466,0.7235728492708074,0.701096196118058,0.4887483606238066,0.4429797343463046,0.7486236183352181,0.3086302623940514,1.0,0.0,0.40136986108052636,0.09161346153372713,0.17547959022672968,0.5398243366249118,0.022292985157696954,0.2739082991186981,0.5968680665303114,0.0,0.5674887537104787,0.0,0.5414871924546378,0.0,0.393202486776619,0.1713747017292303,0.8378782263654166,0.19373163379481276,0.09316144694308197,0.5530340925657725,0.45209116393408977,0.4778531236473814,0.3362068965517237,0.0,0.5924998862240022,1.0,0.32004360071925286,0.5370093596633488,0.45209116393408977,0.4147878958146913,0.5391502501116613,0.7880668694399343,0.45290885085225563,0.5482824102471975,0.45290885085225563,0.6878124796710274,0.35230274388966437,0.610770076869545,0.562450127231952,0.536409500698941,0.5595773552910625,0.8210388476647751,0.5787067618771242,0.46226332536106324,0.377178562529056,0.4321631013453433,0.35930063781681454,0.925954962783844,0.1467771325143766,0.1736435149882061,0.3602152357738259,0.0,0.22526924058676245,1.0,0.6808843670514578,0.19617224880382747,0.0,0.4252392344497607,0.0,0.0,0.30414554957237383,0.0,0.5113122171945701,0.6055924337660811,0.4998776309348997,1.0,0.43366520964869676,0.7333995152401442,0.31778714959067217,0.8561405417165233,0.3811082080865044,0.7440598730485505,0.17901265427076124,0.9908937846454303,0.22240023848097923,0.12189257323014621,0.6730165410555699,0.485738418889816,0.23607175363087282,0.4930696724166836,0.9909390872939415,0.5390289626331342,0.34152414655632685,0.5401702818034322,,0.025563665795291738,0.24721412959826547,1.0,1.0,0.10585404971932637,0.4316892186817983,0.7568529317232198,0.6150272113452114,0.6427195932934502,0.31475000000000003,0.5106815869786367,0.49122807017543857,0.5431034482758621,0.126865671641791,0.5905089934940678,0.6521739130434783,0.5848484848484848
4,0.0,1.0,0.0,0.5309150997323776,0.11969479089319593,0.7145212404359773,0.5833608420496661,0.6759675707587616,0.47047014777131096,0.9106447991461739,0.18603000343795253,1.0,0.0,0.39902756279796575,0.20438774736349427,0.24818615952442982,0.45103625089992805,0.016200065505040467,0.2497275697587254,0.7304807249652552,0.0,0.46458608280459024,0.0,0.48612583957064387,0.0,0.44764137200239945,0.1635062494840574,0.979868518086845,0.37406901694139905,0.08936766094190621,0.569978091697274,0.39769389420539053,0.3686394925091107,0.3145161290322578,0.0,0.5312282082262249,1.0,0.19910088274260537,0.4782204458503432,0.39769389420539053,0.3841161213331136,0.5016799281442119,0.6752350012784069,0.4081385127240762,0.5100924639134374,0.4081385127240762,0.7077084298182792,0.30627108490649646,0.5727560910712705,0.6286610506037453,0.47301862698785413,0.4900953050290792,0.6651694569211923,0.5486324406060484,0.4470162697533396,0.2810916100236727,0.3938075729391388,0.44489054614164086,0.71527882847936,0.10144202669790606,0.19849807260056418,0.3827523479143747,0.0,0.272436031211984,1.0,0.7684434191510723,0.18385650224215153,0.0,0.7970852017937221,0.0,0.0,0.39932938240798255,0.0,0.5158371040723981,0.5415178326097708,0.43711566093262827,1.0,0.5200287747993338,0.819879676244775,0.33627291715015073,0.8361656660221837,0.298961837233502,0.5105888567913124,0.1817836900473861,1.0,0.27302622433140705,0.11712489929067044,0.6620239346529361,0.42460220944200194,0.0,0.4427999228736342,0.9898848259618488,0.5881475041808112,0.27479520246692407,0.61519304043878,,0.22919688998954751,0.1643005303795256,1.0,1.0,0.36515378844711194,0.32870559412004907,0.6024225763498133,0.5619969579821282,0.5891480316095405,0.34525,0.5025432349949135,0.49122807017543857,0.4913793103448277,0.126865671641791,0.5740528128587827,0.6811594202898549,0.5757575757575758
5,0.025266711131587866,0.9933852087749456,0.025266711131587866,0.5839960103451186,0.148952571451562,0.6484878929872406,0.6050592945215598,0.6669304449683314,0.5880715872709399,0.8723020416136072,0.6437286838754916,0.8044138249328239,0.0,0.45634569084268906,0.16317463244947358,0.6187423427293041,0.43225504324656505,0.0,0.23699475897621453,0.6146296318314902,0.0,0.3963352689639709,0.0,0.43157220427204246,0.019629097714221694,0.5007948681580252,0.18113643103158386,0.9189454148469325,0.2602822341124619,0.11302880402490356,0.7380939995436636,0.4065483289784667,0.0018869472475183462,0.5098039215686276,0.0,0.5645672094897213,1.0,0.6290887374793019,0.757802931531745,0.4065483289784667,0.4843732508625466,0.5269210491085816,0.6718580554367473,0.601160643629649,0.5974949252404553,0.601160643629649,0.7114908493493611,0.38509662815162005,0.7967408973183637,0.7690265122757322,0.4202814393521386,0.5490644966829195,0.6723752792256144,0.44838779813985147,0.39919593618496807,0.2069803684491249,0.43222807108110955,0.1944605220895974,0.5950262452498404,0.45118381565261595,0.350699626512322,0.33771673590675594,0.0,0.14800841412489954,0.8630671956360035,1.0,0.0,0.0,1.0,0.0,0.201834862385319,0.5169385447791289,0.0,0.46606334841628955,0.6774225874336103,0.6375247414376723,0.9722061630904971,0.38283623308478343,0.7225797107800194,0.3821413457469319,0.9573204676192243,0.44803848020828746,0.877625760088447,0.18299418324118363,1.0,0.4165267389528648,0.1466140787386943,0.9608314469075904,0.626594880358342,0.4378374856278282,0.4912034949777284,0.9991318732541565,1.0,0.6181519142072175,0.6226255481886196,,0.4576099524961542,0.09557860879530439,0.7874579646558989,1.0,0.31600547195622447,0.462397617274758,0.2610636797994831,0.7278464758529475,0.7566904647190223,0.01700000000000002,0.7090539165818923,0.7145135566188199,0.7672413793103448,0.32089552238805974,0.8239571373899729,0.9855072463768113,0.8727272727272728
6,0.5579419070046207,0.4158303860096901,0.5579419070046207,0.7040451633060357,0.5715779053510103,0.4724277591079972,0.2832143296276388,1.0,0.1874850457012239,0.35411891870153683,0.19427791441877063,0.2375524447246875,0.0,0.6771510069284292,1.0,0.08777779374857804,0.14207028600542132,0.3589102994191027,0.6016688587862203,0.23130499110308522,0.3119870353912846,0.15807872374467502,0.0,0.31121048817104785,0.3321029981035477,0.6285075810837201,0.21632550163544595,0.5786971877799952,0.460627493807413,0.5049629611194391,0.1770497465716458,0.8755201318388695,0.5501697323754637,0.1226415094339617,0.0,0.6134054744716714,0.2927390049809162,0.2744860732601371,0.511160814638313,0.8755201318388695,1.0,0.20573146804656461,0.36383082915971066,0.3615820679870091,0.6809352234714814,0.3615820679870091,0.4402230320660114,0.4694019890496175,0.6337157962533757,0.13467997882329757,0.6078433164574396,0.45037702321439343,0.35037019345593495,0.44829343474573446,0.5665349570788637,0.33221074951690277,0.6117819585192644,0.44988448551626087,0.4580611390284754,0.20529403449250805,0.6502958987063033,0.2370938155136266,0.0,1.0,0.22513513513513533,0.8334286531312558,0.5125000000000004,1.0,0.24687499999999954,0.19499999999999748,0.0,0.6310276842191739,0.0822311673375483,0.31221719457013575,0.37774420622930804,0.5414424417832281,0.5919718947313818,0.28645141287979453,0.4565591327553813,0.1909868331749694,0.8740551157669186,0.1306458690144235,0.2368425169748742,0.7386807355704553,0.25129362154181495,0.22428560325872324,0.5707271852990666,0.28539213702072974,0.5528823042761613,0.53788444675392,0.7770720993931312,0.49284396427448485,0.4067718931422321,0.29889934828898485,0.4508685915557721,,0.14939659065034125,0.3023456484676712,0.47293437309968767,0.5351787235306331,0.8941421676173762,0.4339622641509433,0.37391653895435034,0.17180066970629307,0.5263350145408056,0.94825,0.11088504577822988,0.14832535885167458,0.0862068965517241,0.2649253731343283,0.021048603138155528,0.11594202898550707,0.05606060606060608
7,0.734900668288707,0.2456130521719686,0.734900668288707,0.25707143907784535,0.716247170729813,0.5758720306891778,0.6373952791615157,0.9444868072799906,0.5709506254460165,0.3506158751125368,0.2811681382807799,0.8372556058604286,0.0,0.39192786602977386,0.7129500747123284,0.20869721401823885,0.18497639937857308,0.31518549422063574,0.3147389879540318,0.615043830145233,0.24163247678687222,0.28683086688019355,0.0,0.7544880428626631,0.5806500604338306,0.20005069139621334,0.22725819118143395,0.44555637499492745,0.41627155766358226,0.6614110807211363,0.49200119466237946,0.4907763334796633,0.35009378156110244,0.672413793103448,0.0,0.6470809786932864,0.979336269864783,0.24724312970418338,0.47361395666480427,0.4907763334796633,0.3583639142495975,0.40715252499905535,0.5560361153170874,0.4114795827336418,0.6593242854097563,0.4114795827336418,0.34020835795120513,0.4817165472325064,0.4194630298802274,0.5093607846455311,0.46635532398324325,0.4701734373388827,0.5460497599301616,0.28816069016725426,0.24549908634470727,1.0,0.4351030620177492,0.463981301725631,1.0,0.083421908719039,0.7488214573163722,0.1356380861396383,0.3238650898589313,0.37465480825873904,0.12126240164214866,0.45432070165023974,0.0,0.0,0.24999999999999925,0.19746835443037936,0.0,0.14480827960637876,0.0,0.3981900452488687,0.43376608118428,0.4084302872849128,0.3868410416161507,0.3104257730289785,0.4809217406526862,0.4219796576531878,0.6084520831067116,0.16438161264454054,0.13585806599187958,0.2916007104755094,0.25881454962159434,0.5198807381968004,0.7159948890541733,0.5785408659656489,0.4043983977360721,0.24070028230975046,0.5637712085923559,0.9741038187313675,0.5775575170318653,0.4064762103993204,0.44815200838059227,,0.4670844027483297,0.400610731396177,0.28925682541538755,0.31469598245525116,0.8005212510024059,0.0,0.5545709169383353,0.5285041663843911,0.3461627339718078,0.5415,0.5025432349949135,0.43540669856459335,0.5086206896551725,0.5410447761194029,0.530042097206276,0.5362318840579708,0.5272727272727273
8,0.42641917582810657,0.5400211020530766,0.42641917582810657,0.7094988456441598,0.5371631118231522,0.5804993339507099,0.4597212415022965,0.3518764626059697,0.23434834718541048,0.7919261023047828,0.6034226862560624,0.6729790176987828,0.0,0.13291722459288635,0.1225742120471814,0.6885183227697618,0.865361906914196,0.3640328360742103,0.3318087949003931,0.5759365973018971,0.06853782902292022,0.6853723922824155,0.0,0.31193374074291685,0.39299095269654327,0.6345780086699904,0.14828538177971815,0.4227234825333218,0.27086960420110245,0.46893954918694913,0.20399735357912918,0.3402484330506686,0.19456066945606684,0.18840579710144922,0.0,0.34704317617735075,0.7447437862992458,0.44190525872273834,0.5805145480900823,0.3402484330506686,0.3536589429422183,0.42020882172214996,0.5907379682984184,0.4540096285075817,0.3341491858933818,0.4540096285075817,0.900435022544939,0.3803294347581416,0.48468755154107646,0.12331723127666576,0.709761520090857,0.2473700114194291,0.3946064942212439,0.8180292040988422,0.8762892470492935,0.23803476595173076,0.4882863945506078,0.3686311629017362,0.6092017413862691,0.45210594075384547,0.49595801008636836,0.3583960914513995,0.33114299777099887,0.07361416260297235,0.6829776128059398,0.19902773806119523,0.3519313304721006,0.90772532188841,0.3814377682403413,0.4017167381974232,0.0,0.061611203349452325,0.0,0.6334841628959276,0.5873638989704466,0.4096002283131186,0.6701486634700973,0.21305368442539283,0.5177065245899607,0.3306224585548951,0.4511041009463724,0.758809267534275,0.640048549522917,0.0,0.41316974905797504,0.2371477619677392,0.5357043478019196,0.49990444171760806,0.3905077226260002,0.6713787534117269,0.3588087614517174,0.3854727411608257,0.6194781561623691,0.6016684105346757,0.47872058514909577,,0.3850608119030572,0.960551911560833,0.4216779969141802,1.0,0.39206268958544005,0.620253164556962,0.4177618248132926,0.44762392870362466,0.4106316164330344,0.62025,0.33367243133265506,0.149920255183413,0.24137931034482762,0.14552238805970136,0.19020283199387691,0.33333333333333315,0.17121212121212126
9,0.8366516704555357,0.13927952413565992,0.8366516704555357,0.7511307417649039,0.8975790540392062,0.4363774499133842,0.5563388891152858,0.20737657423602668,0.8962148464803368,0.550156758326593,0.5471981997767382,0.26800108338416195,0.0,0.20262483137192353,1.0,0.45831864488139684,0.6839780691998975,0.25198743400671914,0.546610891601988,0.6345467373366094,0.3655966674834622,0.42160607278228923,0.0,0.2675120000463394,0.7224003903913185,0.6817524945358804,0.19642716795848533,0.38400238604503284,0.4266590166578967,0.8728262739758252,0.3807047293733588,1.0,0.5713912133891214,0.6964285714285713,1.0,0.3324599671024828,0.5490321268792099,0.556645131518228,0.6492363568634753,1.0,1.0,0.5735639427303051,0.6469378789210088,0.4526622480658354,1.0,0.4526622480658354,0.941654895919241,0.3972620533153933,0.6889036004498076,0.3911124268892032,0.5237939754860397,0.4031241041009746,0.7649186256781194,0.5343949367409381,0.5147699856505386,0.3036939178471565,0.7040094912953133,0.5153932196656879,0.31939987050096386,0.5216319635006958,0.5914654879292756,0.24950094031323142,0.45400786318910324,0.23200908059023886,0.6189189189189194,0.7008247966043716,0.6029411764705855,0.0,0.43566176470588097,0.45882352941176385,0.0,0.06572968810165189,0.0,0.4841628959276018,0.6019104404964711,0.5734859853802584,0.30038733751582924,0.39906103286384975,0.6327240093514926,0.5503597122302157,0.5037742226228029,0.9596908155610333,0.5268449419568821,0.37114424846196575,0.14486520863159738,0.40346723272380813,0.8975164569007544,0.4125131780595656,0.56521439789212,0.28414460504931843,0.5355752048256158,0.7759462531525829,0.43216342476513053,0.55151167324223,0.2741271532079085,,0.5439119738056033,0.4264440975654829,0.4936212537307316,0.4701372149285857,0.2706602990033224,0.27034358047016277,0.8074234354194411,0.5547700907474973,0.6723752792256145,0.5007499999999999,0.5513733468972534,0.4832535885167466,0.6034482758620691,0.6455223880597012,0.5575966322234976,0.5652173913043479,0.5196969696969698
10,0.7366912752996674,0.23495513857080036,0.7366912752996674,0.4772392028926689,0.785452295899698,0.5562948988564749,0.3061246780518563,0.5633803653777733,0.37736866870732244,0.4005627087073891,0.23633620567389035,0.2310913334595632,0.0,0.06296382587249924,0.8762635431891244,0.36542601596665863,0.5040877713061578,0.612226236090071,1.0,0.32817264567045,0.29502199812150265,0.47891454105964465,0.19956498096791295,0.5397401288402927,0.7056634986739398,0.3957557874514673,0.1869497278028244,0.27280502298406234,0.2579724875083765,0.739776790933732,0.2571637024582084,0.6444045138031652,0.3710953172465181,0.0,0.0,0.30845389952426033,0.34911443308370343,0.13970453439196917,0.1387061237278027,0.6444045138031652,0.4331079420847736,0.2690521653350104,0.47042460775416156,0.240371030161558,0.5810142096731932,0.240371030161558,0.23989084268629574,0.4895382169687906,0.2614479248654615,0.41763373985348934,0.7364647978052558,0.10386142740966152,0.3168024969654934,0.3325627975634775,0.31446860471289617,0.4586718514452527,0.943785263946194,0.6669515622317338,0.6626701911494518,0.24057721520200492,0.045214068776330635,0.3514917119710054,0.32566143789231244,0.37645299063083154,0.5069628950984882,0.6533057390596296,0.3474576271186427,0.1493644067796605,0.8787076271186448,0.19830508474576242,0.0,0.16575390351898836,0.2721587819467105,0.3981900452488687,0.24452171477911827,0.2505032734047279,0.36955768724367044,0.4538073187986366,0.7630088339453489,0.6353602049866957,0.0,0.15176396838935782,0.2541658147618075,0.626578977943686,0.14711924591661352,0.513145643782257,0.7850700076029395,0.23275967984158916,0.2533250936069152,0.06263970990015405,0.6585749789663121,0.7999453504892496,0.23767331611425688,0.09169304888476167,0.3406879270364387,,0.34172087170872134,0.8913000422263956,0.3428858755734828,0.18010115221793835,0.9908410321758523,0.2353043176694989,0.25160972584499214,0.3086408124086085,0.18935321657707663,0.72925,0.2227873855544252,0.3700159489633174,0.21551724137931033,0.6194029850746264,0.2854955989284346,0.21739130434782608,0.2454545454545456
