Embedding Type,Accuracy,pos_acc,neg_acc,Precision,Recall,F1 Score,MCC,AUC,Mean Distance,Std Distance,Min Distance,Max Distance,Threshold,Total Samples,True Positives,False Negatives,True Negatives,False Positives,True Positive Rate,False Positive Rate
mimic_GPT3AGG_embedding,0.8305084745762712,0.7080979284369114,0.9529190207156308,0.9376558603491272,0.7080979284369114,0.8068669527896994,0.6817642126880075,0.8305084745762711,0.8313418,0.13280019,0.36360285,1.2677107,0.60135823,1062,752,310,1012,50,0.7080979284369114,0.047080979284369114
mimic_GPT4TAGG_embedding,0.8328625235404896,0.7080979284369114,0.9576271186440678,0.9435382685069009,0.7080979284369114,0.8090371167294244,0.687471647243686,0.8328625235404896,0.8408339,0.13382067,0.3833696,1.2144607,0.60135823,1062,752,310,1017,45,0.7080979284369114,0.0423728813559322
mimic_GPT4oAGG_embedding,0.8410165484633569,0.7080378250591016,0.9739952718676123,0.964573268921095,0.7080378250591016,0.816632583503749,0.7075143905422776,0.8410165484633569,0.88037354,0.13783367,0.47260946,1.2479423,0.60135823,846,599,247,824,22,0.7080378250591016,0.026004728132387706
topic_GPT3AGG_embedding,0.8418079096045198,0.7080979284369114,0.975517890772128,0.9665809768637532,0.7080979284369114,0.8173913043478259,0.7094540826567587,0.8418079096045197,0.90142834,0.14928402,0.42107648,1.3820295,0.60135823,1062,752,310,1036,26,0.7080979284369114,0.02448210922787194
topic_GPT4TAGG_embedding,0.8380414312617702,0.7080979284369114,0.967984934086629,0.9567430025445293,0.7080979284369114,0.8138528138528138,0.7001403615703131,0.8380414312617701,0.88451034,0.1539107,0.46196628,1.3660412,0.60135823,1062,752,310,1028,34,0.7080979284369114,0.032015065913371
topic_GPT4oAGG_embedding,0.8479284369114878,0.7080979284369114,0.987758945386064,0.9830065359477124,0.7080979284369114,0.823207443897099,0.7247763148019901,0.8479284369114877,0.9240744,0.1582674,0.38114965,1.3866035,0.60135823,1062,752,310,1049,13,0.7080979284369114,0.01224105461393597
