embedding_id,author,compute_herdans_v,compute_brunets_w,tuldava_ln_ttr,simpsons_index,sichel_s_measure,orlov_sigma,pos_frequencies_pos_frequencies_ADJ,pos_frequencies_pos_frequencies_ADP,pos_frequencies_pos_frequencies_ADV,pos_frequencies_pos_frequencies_AUX,pos_frequencies_pos_frequencies_CCONJ,pos_frequencies_pos_frequencies_DET,pos_frequencies_pos_frequencies_INTJ,pos_frequencies_pos_frequencies_NOUN,pos_frequencies_pos_frequencies_NUM,pos_frequencies_pos_frequencies_PART,pos_frequencies_pos_frequencies_PRON,pos_frequencies_pos_frequencies_PROPN,pos_frequencies_pos_frequencies_PUNCT,pos_frequencies_pos_frequencies_SCONJ,pos_frequencies_pos_frequencies_SYM,pos_frequencies_pos_frequencies_VERB,pos_frequencies_pos_frequencies_X,yules_k_characteristic,honores_r,renyis_entropy,perplexity,burstiness,hapax_dislegomena_rate,dugast_vmi,average_word_length,prosodic_patterns,compute_inversion_frequencies_classic_inversion,compute_inversion_frequencies_expletive_inversion,compute_inversion_frequencies_emphatic_inversion,clauses_per_sentence,modifiers_per_noun_phrase,coordinated_phrases_per_sentence,coordinate_phrases_ratio,sentence_length_variation,clause_length_variation,dependent_clauses_ratio,subordination_index,average_sentence_depth,compute_average_dependency_distance,frazier_depth,branching_factor_for_text,compute_hierarchical_structure_complexity,compute_yngve_depth,long_word_rate,short_word_rate,lexical_density,calculate_embedded_clause_ratio,ratio_of_stressed_syllables,pairwise_variability_index,compute_zipfian_loss,frequent_delimiters_rate,preposition_usage_in,preposition_usage_of,preposition_usage_to,preposition_usage_for,preposition_usage_with,preposition_usage_on,preposition_usage_at,preposition_usage_by,preposition_usage_from,preposition_usage_up,preposition_usage_about,preposition_usage_into,preposition_usage_over,preposition_usage_after,lessfrequent_delimiters_rate,parentheticals_and_brackets_rate,calculate_cumulative_syntactic_complexity,average_syntactic_branching_factor,calculate_structural_complexity_index,lexical_overlap,analyze_passiveness_average_passiveness,analyze_passiveness_std_passiveness,ratio_of_cleft_sentences,calculate_noun_overlap,pronoun_sentence_opening_ratio,ratio_of_sentence_initial_conjunctions,calculate_fronted_adverbial_ratio,rare_words_ratio,summer_index,dale_chall_complex_words_rate,guirauds_index,syll_per_word,average_sentence_length,normalized_assonance,normalized_alliteration,tempo_variation,rhythmic_complexity,complex_words_rate,detailed_conjunctions_usage_coordinating,detailed_conjunctions_usage_subordinating,detailed_conjunctions_usage_correlative,auxiliary_infipart_modals_usage_rate_1,auxiliary_infipart_modals_usage_rate_2,auxiliary_infipart_modals_usage_rate_3,auxiliary_infipart_modals_usage_rate_4,sentence_type_ratio_simple,sentence_type_ratio_compound,sentence_type_ratio_complex,sentence_type_ratio_compound-complex,figurative_vs_literal_ratio,flesch_reading_ease,GFI,coleman_liau_index,ari,dale_chall_readability_score,lix,smog_index,rix
1.0,6032.0,0.8715016788623469,12.899121122084132,0.8715016788623469,0.9872021644735393,12.17738331510899,4.503981849595146,0.09507042253521127,0.12441314553990611,0.03403755868544601,0.062206572769953054,0.029342723004694836,0.0892018779342723,0.0,0.26173708920187794,0.008215962441314555,0.01643192488262911,0.056338028169014086,0.02112676056338028,0.07981220657276995,0.02112676056338028,0.0011737089201877935,0.09976525821596244,0.0,116.24126606273006,2013.029980504079,6.287956359181673,1.0061405923490545,0.9920038361046143,0.05868544600938967,150.42723004694835,4.788732394366197,11.321063045928724,0.2413793103448276,0.10344827586206896,0.0,3.2413793103448274,0.8672199170124482,0.896551724137931,0.48214285714285715,11.321063045928724,8.421549458033367,5.103448275862069,0.5797101449275363,5.448275862068965,3.566221142162819,5.448275862068965,2.5344002576627753,3.032863849765258,12.867255062944718,0.25234741784037557,0.4295774647887324,0.49061032863849763,0.8620689655172413,0.26416430594900847,0.43167155425219944,0.009575377675148523,0.062206572769953054,0.17307692307692307,0.3557692307692308,0.18269230769230768,0.019230769230769232,0.028846153846153848,0.038461538461538464,0.009615384615384616,0.028846153846153848,0.07692307692307693,0.0,0.04807692307692308,0.009615384615384616,0.028846153846153848,0.0,0.004694835680751174,0.0,70.0,2.413793103448276,15.896551724137932,0.7206572769953051,0.4172413793103449,0.45943666068817846,0.2413793103448276,0.896551724137931,0.20689655172413793,0.0,0.13793103448275862,0.5833333333333334,2.2344193211512677,0.19642857142857142,12.264877905912817,3.3145539906103285,29.379310344827587,0.0,0.01804123711340206,16.424004357764776,0.49987612041584983,0.5903755868544601,0.03169014084507042,0.015258215962441314,0.0,0.022300469483568074,0.012910798122065728,0.01643192488262911,0.011737089201877934,0.10344827586206896,0.1724137931034483,0.4482758620689655,0.27586206896551724,0.1724137931034483,44.27,15.2,12.94,16.7,9.12,56.18,15.8,7.55
2.0,6032.0,0.8506433203451393,13.734198662517937,0.8506433203451393,0.9873334562137172,13.037319625347173,7.024134170108054,0.08972691807542263,0.1222366710013004,0.046163849154746424,0.06046814044213264,0.03446033810143043,0.10793237971391417,0.0,0.22171651495448635,0.010403120936280884,0.024057217165149546,0.053315994798439535,0.031209362808842653,0.09167750325097529,0.015604681404421327,0.0,0.09102730819245773,0.0,120.16348727765273,1876.5444821560757,6.302833267711781,1.0035065122689228,0.9794211691913717,0.05136540962288687,171.77893368010402,4.529908972691808,13.506844274280246,0.09259259259259259,0.05555555555555555,0.0,2.9444444444444446,1.0796915167095116,1.0185185185185186,0.5229357798165137,13.506844274280246,8.844906963535458,4.425925925925926,0.5263157894736842,5.277777777777778,3.589622641509434,5.277777777777778,2.6248779421186548,3.068270481144343,12.617423317423315,0.2444733420026008,0.44928478543563066,0.4486345903771131,0.7222222222222222,0.27262860863902755,0.43747773423583897,-0.011638931505579356,0.053315994798439535,0.2,0.34210526315789475,0.15263157894736842,0.05789473684210526,0.031578947368421054,0.021052631578947368,0.042105263157894736,0.06315789473684211,0.042105263157894736,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.0,0.005263157894736842,0.003250975292587776,0.013003901170351105,117.0,2.1666666666666665,15.324074074074074,0.7964889466840052,0.40925925925925927,0.4338750966018944,0.16666666666666666,0.8333333333333334,0.14814814814814814,0.0,0.24074074074074073,0.5708712613784135,2.5312024053855837,0.17465998568360774,13.10644626434275,2.9954486345903772,28.48148148148148,0.0,0.027417027417027416,20.24283307270323,0.4999978458216239,0.5643693107932379,0.03706111833550065,0.01950585175552666,0.0,0.025357607282184655,0.008452535760728219,0.011703511053315995,0.020156046814044214,0.2037037037037037,0.2777777777777778,0.25925925925925924,0.25925925925925924,0.14814814814814814,44.07,14.34,11.67,15.9,8.68,55.43,14.4,7.47
3.0,6032.0,0.8570037125144342,13.482863433841056,0.8570037125144342,0.9835362979225077,12.053435256939222,6.422436745504011,0.078196872125115,0.14351425942962281,0.035878564857405704,0.04875804967801288,0.04783808647654094,0.11039558417663294,0.0,0.20975160993560257,0.006439742410303588,0.02207911683532659,0.05887764489420423,0.03955841766329347,0.09107635694572216,0.01839926402943882,0.0,0.08923643054277829,0.0,155.43738876019935,2071.4598184062843,5.92456740879642,1.0047244159097866,0.969553532154629,0.05519779208831647,147.19411223551057,4.656853725850966,14.349399758787822,0.0625,0.0,0.0,3.875,1.033210332103321,1.6875,0.6627906976744186,14.349399758787822,12.08140411261354,4.9375,0.5633802816901409,6.3125,3.7800947867298578,6.3125,2.6281023636482397,3.6991720331186753,12.643795093795093,0.26770929162833484,0.4765409383624655,0.41306347746090155,0.8125,0.26932294787297784,0.4374844643301019,0.0181065275679197,0.05979760809567617,0.16216216216216217,0.31756756756756754,0.1554054054054054,0.02702702702702703,0.060810810810810814,0.0945945945945946,0.0472972972972973,0.08108108108108109,0.02702702702702703,0.0,0.013513513513513514,0.006756756756756757,0.006756756756756757,0.0,0.0009199632014719411,0.0018399264029438822,77.0,2.40625,18.1875,0.7562097516099356,0.35625000000000007,0.40151081865872557,0.1875,0.75,0.28125,0.0,0.15625,0.5446182152713891,2.3710654169442167,0.19534412955465588,12.132358065747589,3.0708371665133396,33.96875,0.0,0.022426095820591234,21.880155642442308,0.49999987407322616,0.531738730450782,0.05243790248390064,0.020239190432382703,0.0,0.025758969641214352,0.00827966881324747,0.010119595216191352,0.007359705611775529,0.0625,0.25,0.40625,0.28125,0.1875,39.4,17.18,12.72,18.7,9.32,62.18,17.0,9.39
4.0,6032.0,0.8471461080089872,13.898650117183452,0.8471461080089872,0.9878287089936462,11.692248938351652,5.9147141055696775,0.057660626029654036,0.12108731466227347,0.028830313014827018,0.06342668863261944,0.030477759472817133,0.11449752883031301,0.0,0.2701812191103789,0.019769357495881382,0.0214168039538715,0.05024711696869852,0.018121911037891267,0.0700164744645799,0.023064250411861616,0.0016474464579901153,0.10873146622734761,0.0008237232289950577,113.47567777358603,1673.3834185999838,6.360373987238128,1.0043522730687022,0.9411169783364656,0.060955518945634266,138.4678747940692,4.58154859967051,14.791129098212888,0.125,0.025,0.0,3.275,0.8628571428571429,0.975,0.5555555555555556,14.791129098212888,7.837411473134068,5.5,0.5979381443298969,5.6,3.5630323679727427,5.6,2.440400739783093,3.3319604612850084,12.285019841269838,0.23887973640856672,0.41927512355848434,0.46540362438220756,0.8,0.2743337195828505,0.4543245869776482,-0.033527962174898236,0.054365733113673806,0.14084507042253522,0.3591549295774648,0.15492957746478872,0.08450704225352113,0.056338028169014086,0.04225352112676056,0.028169014084507043,0.035211267605633804,0.06338028169014084,0.007042253521126761,0.0,0.014084507042253521,0.014084507042253521,0.0,0.005766062602965404,0.0016474464579901153,120.0,3.0,16.675,0.8056013179571664,0.35750000000000004,0.4283033387682146,0.2,0.825,0.275,0.0,0.05,0.5650741350906096,2.491032263150187,0.15234720992028344,11.767237347570976,2.843492586490939,30.35,0.0,0.03395889186773905,22.76071176391459,0.4976404829112334,0.5626029654036244,0.04118616144975288,0.01070840197693575,0.0,0.029654036243822075,0.01400329489291598,0.009060955518945634,0.018945634266886325,0.17500000000000002,0.15000000000000002,0.32500000000000007,0.35000000000000003,0.15,49.38,15.24,11.73,17.2,8.41,57.89,15.3,8.0
5.0,419.0,0.8655903866498388,12.901955033343095,0.8655903866498388,0.9872868349052119,17.732514175216416,9.37926572696903,0.05517503805175038,0.09474885844748858,0.029299847792998476,0.03538812785388128,0.0213089802130898,0.07572298325722983,0.00076103500761035,0.1719939117199391,0.0076103500761035,0.031582952815829526,0.07420091324200913,0.06659056316590563,0.14840182648401826,0.033866057838660577,0.0,0.10692541856925418,0.04642313546423135,123.32647590982488,2783.3597993020553,6.297532938496036,1.0021458919711226,0.9673256222938804,0.04452054794520548,316.4931506849315,4.4973363774733635,10.853879484506539,0.06382978723404255,0.02127659574468085,0.0,2.9361702127659575,0.7272727272727273,0.6063829787234043,0.4125,10.853879484506539,7.601174646066225,6.3936170212765955,0.624,5.5212765957446805,3.531570639305446,5.5212765957446805,2.5910898029796656,3.2309741248097414,11.506139664118388,0.24923896499238965,0.4756468797564688,0.3633942161339422,0.851063829787234,0.27760905577029266,0.4471225925498789,-0.1169112993282066,0.08942161339421613,0.1791044776119403,0.26865671641791045,0.26119402985074625,0.033582089552238806,0.06716417910447761,0.018656716417910446,0.026119402985074626,0.09328358208955224,0.03731343283582089,0.0037313432835820895,0.0037313432835820895,0.0037313432835820895,0.0037313432835820895,0.0,0.005707762557077625,0.0076103500761035,276.0,2.9361702127659575,15.446808510638299,0.7511415525114156,0.20106382978723406,0.34717543570909626,0.23404255319148937,0.8191489361702128,0.23404255319148937,0.0,0.24468085106382978,0.6506849315068494,2.38696814198606,0.22966934763181412,17.790254373811845,2.756468797564688,27.95744680851064,0.0,0.020316027088036117,15.803641757587803,0.4988677933345401,0.4973363774733638,0.02511415525114155,0.01902587519025875,0.0,0.017884322678843226,0.007229832572298325,0.00684931506849315,0.007229832572298325,0.13829787234042554,0.1276595744680851,0.3404255319148936,0.39361702127659576,0.20212765957446807,47.62,14.35,12.89,15.5,9.77,56.68,14.4,7.04
6.0,419.0,0.8672496406659027,12.871036334910704,0.8672496406659027,0.9869436500526015,17.450866926741746,9.018863714908095,0.06463565253190613,0.10498147385755455,0.03211198023878139,0.03499382461918485,0.025524907369287773,0.1037463976945245,0.0008233841086867024,0.16385343762865376,0.004940304652120214,0.0177027583367641,0.05804857966241252,0.06257719226018937,0.12433100041169205,0.022643062988884313,0.0004116920543433512,0.10045286125977769,0.07822149032523672,126.4465789305532,2723.5982768133094,6.259104558494656,1.0023137513359397,0.9878512910837494,0.04569781803211198,306.6154796212433,4.4129271305063815,9.748846390667973,0.0975609756097561,0.024390243902439025,0.012195121951219513,2.9146341463414633,0.9654545454545455,0.7560975609756098,0.5030674846625767,9.748846390667973,9.518341036874803,4.829268292682927,0.5614973262032086,5.536585365853658,3.6233489561141883,5.536585365853658,2.7954914393077175,3.2021407986825854,12.341134339914827,0.2317826265953067,0.4779744750926307,0.361053931659119,0.8170731707317073,0.27214434834476586,0.43940886699507387,-0.05186748470185844,0.06875257307533965,0.18045112781954886,0.2857142857142857,0.24812030075187969,0.08270676691729323,0.05639097744360902,0.022556390977443608,0.015037593984962405,0.05639097744360902,0.041353383458646614,0.0,0.0,0.011278195488721804,0.0,0.0,0.004528612597776863,0.004940304652120214,201.0,2.451219512195122,16.036585365853657,0.7463976945244957,0.2475609756097561,0.38610803800708726,0.17073170731707318,0.7073170731707317,0.14634146341463414,0.0,0.25609756097560976,0.6253602305475504,2.3445316776741567,0.21908791725434884,17.51043916129014,2.760806916426513,29.621951219512194,0.0,0.022748815165876776,14.405288745559757,0.4995022758323881,0.5306710580485796,0.0337587484561548,0.01729106628242075,0.0,0.01729106628242075,0.006587072869493619,0.006175380815150268,0.00699876492383697,0.13414634146341464,0.18292682926829268,0.4024390243902439,0.2804878048780488,0.21951219512195122,46.0,14.48,11.61,15.1,9.69,54.53,14.3,6.77
7.0,311.0,0.8230651128291625,14.763996437946092,0.8230651128291625,0.9827721380690202,14.149728390727821,15.91400496983205,0.06429734129137277,0.10824742268041238,0.032013022246337494,0.07650569723277266,0.027943570265870864,0.13727618014107434,0.0,0.25529028757460664,0.01410743353228432,0.014921323928377646,0.024959305480195332,0.016006511123168747,0.10444926749864351,0.020075963103635377,0.0024416711882799783,0.10146500271296799,0.0,169.56565132281847,1747.901267445447,5.859112523207286,1.0014826140671231,1.1091001466106827,0.048833423765599564,201.5854584915898,4.555073250135648,9.883841144092685,0.27011494252873564,0.034482758620689655,0.0,1.9022988505747127,0.933,0.5862068965517241,0.4318936877076412,9.883841144092685,7.5312629167558285,3.9080459770114944,0.4956268221574344,4.379310344827586,3.248861047835991,4.379310344827586,2.400400900501216,2.49511665762344,10.464520616675788,0.25339120998372217,0.47992403689636465,0.45306565382528485,0.6264367816091954,0.26846335697399526,0.4304287262033741,0.08327069323992284,0.06918068366793272,0.17142857142857143,0.2727272727272727,0.21038961038961038,0.05974025974025974,0.06493506493506493,0.025974025974025976,0.04155844155844156,0.06233766233766234,0.04155844155844156,0.015584415584415584,0.005194805194805195,0.01818181818181818,0.005194805194805195,0.005194805194805195,0.0065111231687466084,0.0,277.0,1.5919540229885059,11.38793103448276,0.8760173629951167,0.4557471264367816,0.45630482900633573,0.12643678160919541,0.9367816091954023,0.1206896551724138,0.0,0.11494252873563218,0.5813890396093326,3.4719716520792727,0.13480763405028778,14.19807939446705,2.8689636462289747,21.183908045977013,0.0,0.02029520295202952,14.905521148492316,0.4999710162254549,0.5111231687466088,0.0352685838307108,0.015735214324470972,0.0,0.04639175257731959,0.0056972327726532825,0.014921323928377646,0.015192620727075421,0.25862068965517243,0.20114942528735633,0.3333333333333333,0.20689655172413793,0.13218390804597702,53.71,10.11,11.66,11.7,7.35,48.16,13.2,5.17
8.0,311.0,0.8611618385766637,13.295984480441863,0.8611618385766637,0.981484818001191,11.553857954673122,5.99361365763358,0.07494407158836688,0.11073825503355705,0.03467561521252797,0.05480984340044743,0.0145413870246085,0.14093959731543623,0.0,0.2203579418344519,0.02796420581655481,0.0145413870246085,0.021252796420581657,0.0447427293064877,0.1040268456375839,0.015659955257270694,0.0044742729306487695,0.116331096196868,0.0,173.9661376614667,2004.1572964071042,5.75514745892634,1.0056459866975902,0.9718150566397072,0.06487695749440715,135.46308724832215,4.542505592841163,10.629468472129734,0.32,0.04,0.0,1.8,1.0464135021097047,0.26,0.3611111111111111,10.629468472129734,6.952892364535937,3.3,0.45054945054945056,3.82,3.240521327014218,3.82,2.335647075147075,2.645413870246085,8.742619047619048,0.2371364653243848,0.4541387024608501,0.4463087248322148,0.58,0.26963249516441007,0.4305555555555556,0.10584444678774813,0.08165548098434004,0.08571428571428572,0.2571428571428571,0.20952380952380953,0.10476190476190476,0.09523809523809523,0.05714285714285714,0.02857142857142857,0.0761904761904762,0.02857142857142857,0.0,0.009523809523809525,0.009523809523809525,0.0380952380952381,0.0,0.0011185682326621924,0.0,59.0,1.18,9.53,0.7427293064876958,0.44799999999999995,0.47084604702598915,0.1,0.84,0.1,0.0,0.14,0.6140939597315436,2.273092105735598,0.18726591760299627,11.63886108037733,2.8914988814317675,17.88,0.0,0.017587939698492462,14.897368895210994,0.49997575458832966,0.5458612975391499,0.029082774049217,0.007829977628635347,0.0,0.050335570469798654,0.0044742729306487695,0.003355704697986577,0.003355704697986577,0.44,0.06,0.3,0.2,0.02,57.06,9.77,10.95,9.8,8.9,42.09,12.7,3.73
9.0,311.0,0.8257633265593627,14.764129625426015,0.8257633265593627,0.9839395009171583,13.110905261245842,12.583694172560252,0.07140241669718052,0.11277920175759795,0.032222629073599414,0.054924935920908094,0.020505309410472353,0.13181984621017942,0.0010984987184181618,0.2519223727572318,0.008421823507872574,0.016843647015745148,0.031124130355181252,0.040644452581471986,0.10545587696814354,0.023434639326254118,0.004760161113145368,0.09227389234712559,0.0003661662394727206,156.9433284336867,1994.0465595508822,5.960339464220045,1.0019648800037557,1.1126508078163349,0.03405346027096302,173.32259245697546,4.5020139143171,10.248107959170367,0.12295081967213115,0.08196721311475409,0.01639344262295082,2.1065573770491803,0.9036295369211514,0.45901639344262296,0.41116751269035534,10.248107959170367,8.677878197229166,3.8688524590163933,0.47413793103448276,4.229508196721311,3.5270218474511306,4.229508196721311,2.5974510020676846,2.486634932259246,11.058128415300548,0.2500915415598682,0.46796045404613695,0.4478213108751373,0.6721311475409836,0.26634292118042585,0.4261924342105263,0.017687717789270484,0.08275357012083485,0.1893687707641196,0.29900332225913623,0.18604651162790697,0.06976744186046512,0.059800664451827246,0.03322259136212625,0.016611295681063124,0.04983388704318937,0.03986710963455149,0.026578073089700997,0.0033222591362126247,0.019933554817275746,0.0033222591362126247,0.0033222591362126247,0.009520322226290736,0.0,212.0,1.7377049180327868,12.061475409836065,0.848041010618821,0.30819672131147535,0.4204973955464901,0.08196721311475409,0.9016393442622951,0.1721311475409836,0.0,0.22131147540983606,0.6056389600878799,3.182901299282494,0.1367171510437986,13.165203851706037,2.9406810692054193,22.385245901639344,0.0,0.02155887230514096,14.821213469823803,0.49987683230760144,0.5254485536433541,0.02965946539729037,0.016843647015745148,0.0,0.039912120102526545,0.0021969974368363236,0.007689491028927133,0.009886488465763456,0.29508196721311475,0.1721311475409836,0.39344262295081966,0.13934426229508196,0.14754098360655737,50.97,11.15,11.6,12.8,7.65,50.05,13.8,5.78
10.0,311.0,0.8073501386165345,15.271306344258264,0.8073501386165345,0.9784065791475388,6.972264603018999,5.566176276322951,0.1226252158894646,0.09844559585492228,0.03454231433506045,0.08981001727115717,0.03626943005181347,0.13471502590673576,0.0,0.20379965457685664,0.0034542314335060447,0.02936096718480138,0.05008635578583765,0.0,0.07944732297063903,0.039723661485319514,0.0017271157167530224,0.07599309153713299,0.0,198.66305135708342,1638.5173048294082,5.5332643750415755,1.007620974195111,0.8884876718570865,0.039723661485319514,49.913644214162346,4.343696027633851,8.483772745659799,0.2,0.2,0.0,2.16,1.3305084745762712,0.72,0.5227272727272727,8.483772745659799,7.392513523717566,5.64,0.5454545454545454,4.72,3.454873646209386,4.72,2.6545482295482294,2.5043177892918824,11.450095238095237,0.24006908462867013,0.48704663212435234,0.4369602763385147,0.72,0.2595505617977528,0.4215686274509804,-0.056826551809335615,0.07081174438687392,0.14754098360655737,0.3770491803278688,0.22950819672131148,0.03278688524590164,0.08196721311475409,0.0,0.01639344262295082,0.0,0.06557377049180328,0.01639344262295082,0.03278688524590164,0.0,0.0,0.0,0.008635578583765112,0.0,60.0,2.4,12.78,0.8203799654576857,0.19200000000000003,0.345160832076874,0.12,0.88,0.32,0.0,0.2,0.5302245250431779,2.781747098231078,0.10318949343339587,7.0649588968487524,3.07426597582038,23.16,0.0,0.033962264150943396,12.803374555170992,0.4978260112471001,0.5284974093264249,0.039723661485319514,0.027633851468048358,0.0,0.06044905008635579,0.010362694300518135,0.015544041450777202,0.018998272884283247,0.24,0.12,0.32,0.32,0.04,57.61,10.99,9.75,12.0,6.88,48.23,14.1,5.79
