embedding_id,compute_herdans_v,compute_brunets_w,tuldava_ln_ttr,simpsons_index,sichel_s_measure,orlov_sigma,pos_frequencies_pos_frequencies_ADJ,pos_frequencies_pos_frequencies_ADP,pos_frequencies_pos_frequencies_ADV,pos_frequencies_pos_frequencies_AUX,pos_frequencies_pos_frequencies_CCONJ,pos_frequencies_pos_frequencies_DET,pos_frequencies_pos_frequencies_INTJ,pos_frequencies_pos_frequencies_NOUN,pos_frequencies_pos_frequencies_NUM,pos_frequencies_pos_frequencies_PART,pos_frequencies_pos_frequencies_PRON,pos_frequencies_pos_frequencies_PROPN,pos_frequencies_pos_frequencies_PUNCT,pos_frequencies_pos_frequencies_SCONJ,pos_frequencies_pos_frequencies_SYM,pos_frequencies_pos_frequencies_VERB,pos_frequencies_pos_frequencies_X,yules_k_characteristic,honores_r,renyis_entropy,perplexity,burstiness,hapax_dislegomena_rate,dugast_vmi,average_word_length,prosodic_patterns,compute_inversion_frequencies_classic_inversion,compute_inversion_frequencies_expletive_inversion,compute_inversion_frequencies_emphatic_inversion,clauses_per_sentence,modifiers_per_noun_phrase,coordinated_phrases_per_sentence,coordinate_phrases_ratio,sentence_length_variation,clause_length_variation,dependent_clauses_ratio,subordination_index,average_sentence_depth,compute_average_dependency_distance,frazier_depth,branching_factor_for_text,compute_hierarchical_structure_complexity,compute_yngve_depth,long_word_rate,short_word_rate,lexical_density,calculate_embedded_clause_ratio,ratio_of_stressed_syllables,pairwise_variability_index,compute_zipfian_loss,frequent_delimiters_rate,preposition_usage_in,preposition_usage_of,preposition_usage_to,preposition_usage_for,preposition_usage_with,preposition_usage_on,preposition_usage_at,preposition_usage_by,preposition_usage_from,preposition_usage_up,preposition_usage_about,preposition_usage_into,preposition_usage_over,preposition_usage_after,lessfrequent_delimiters_rate,parentheticals_and_brackets_rate,calculate_cumulative_syntactic_complexity,average_syntactic_branching_factor,calculate_structural_complexity_index,lexical_overlap,analyze_passiveness_average_passiveness,analyze_passiveness_std_passiveness,ratio_of_cleft_sentences,calculate_noun_overlap,pronoun_sentence_opening_ratio,calculate_fronted_adverbial_ratio,rare_words_ratio,summer_index,dale_chall_complex_words_rate,guirauds_index,syll_per_word,average_sentence_length,normalized_alliteration,tempo_variation,rhythmic_complexity,complex_words_rate,detailed_conjunctions_usage_coordinating,detailed_conjunctions_usage_subordinating,auxiliary_infipart_modals_usage_rate_1,auxiliary_infipart_modals_usage_rate_2,auxiliary_infipart_modals_usage_rate_3,auxiliary_infipart_modals_usage_rate_4,sentence_type_ratio_simple,sentence_type_ratio_compound,sentence_type_ratio_complex,sentence_type_ratio_compound-complex,figurative_vs_literal_ratio,flesch_reading_ease,GFI,coleman_liau_index,ari,dale_chall_readability_score,lix,smog_index,rix
1,0.22615771935808893,0.730269634403525,0.22615771935808893,0.5785431006832275,0.2314257154389976,0.49304656586315243,0.5967898946627577,0.47848419139327797,0.509315472397284,0.7899344931850469,0.40023302450982196,0.6668839762655633,0.0,0.426114829546546,0.05776328726213247,0.27515810246199596,0.4583039805823223,0.025759893302075725,0.33204139561388635,0.3725829105731059,0.0,0.5802054577210748,0.0,0.4364926589978606,0.13203528356029362,0.4350081279969201,0.11873980263257707,0.6635312870701113,0.333234299806102,0.154453927027362,0.6536776357725629,0.1791746946751824,0.43513987178633307,0.0,0.0,0.2764099790218164,0.8017208615170213,0.2121387324609131,0.48684098251104096,0.1791746946751824,0.20142948491711296,0.31436382249528416,0.6374575470807992,0.3502744875283851,0.18186039604648793,0.3502744875283851,0.7625425282347467,0.20165629288696932,0.3880890767592926,0.6546050022594766,0.44480398117096165,0.6237590019391952,0.6466613717071122,0.3883317738830952,0.33037183688796057,0.32213724378203445,0.4472945432410154,0.3650685137533395,0.5420964508015448,0.4690551115146276,0.08285770971656399,0.29327032338275233,0.0,0.10974016418662505,0.7964040053369952,0.6100478468899516,0.0,0.0,0.47884893836150094,0.0,0.10253815771478411,0.054295475071290095,0.0,0.24935116789778397,0.3586328896672797,0.2767773896875743,0.8747309809319981,0.40840202823485416,0.809862940054693,0.4,0.8577597178538047,0.06153846153846143,0.5521367521367521,0.2567498248807225,0.5846090948864004,0.35157058712270484,0.22945033959989272,0.7596420041534631,0.2707485111069961,0.3337598094484822,0.23445626861617003,0.9974439471306686,0.7005939778954513,0.3810572472276627,0.4254650268922843,0.3658778454673445,0.21989524322662118,0.8320603486663805,0.7790616760250298,0.3496543891423633,0.2868151329779697,0.7052376694388831,0.32901909031893833,0.25441746113164837,0.3636403838499979,0.3354222313540169,0.6689519158527432,0.3954874414644529,0.23959827833572445,0.4469949499990028,0.5921601334445389,0.4185435734182256
2,0.30436028768628937,0.6432394868394449,0.30436028768628937,0.6203087904644227,0.3075402638724545,0.4739693896014721,0.5336267931661085,0.5771527605229567,0.6263721989384771,0.5606754727971623,0.243684272535944,0.7526136605102611,0.0,0.4541275593413211,0.11618780991365914,0.40084552223520414,0.40572788177667957,0.03298312240091804,0.28544372504688764,0.49738848195717666,0.0,0.5701280102615824,0.0,0.3955778816313043,0.1790309330839544,0.4769779857124314,0.11507339154046768,0.5829125426559233,0.2900815937390723,0.21574462102607095,0.5909074727333488,0.1891704890912715,0.35685980818367785,0.06672004270082747,0.0,0.44548657479738457,0.9131756830322482,0.15501078662427378,0.3732822823976362,0.1891704890912715,0.17586626166733949,0.4365679186340108,0.7669098770351819,0.43686763299720693,0.23888666210355095,0.43686763299720693,0.7780425262513938,0.31795224028698715,0.4099428890592645,0.5762773552873545,0.5147660956036837,0.643415513691182,0.6685345355110694,0.5190939644013493,0.45178870048834396,0.41239868941512553,0.3402965914098799,0.2004017030678739,0.6455987870940526,0.42818308934945265,0.025317633524505726,0.23896100423779806,0.06208389105626774,0.2682537346784173,0.7632205051146203,0.4473684210526314,0.0,0.0,0.658417290247065,0.19804160033749674,0.2819799337156568,0.16945561673283105,0.0,0.3032541425434218,0.47182763692700735,0.33185921347588315,0.8321803599848879,0.201018127037952,0.5156274223124493,0.35944700460829493,0.8489404628233747,0.2580645161290322,0.6129032258064517,0.21984285460798458,0.5046353884818195,0.36876441490071266,0.30579085853208565,0.7280359300518525,0.31893402791753656,0.5088745730128983,0.2462558892342455,0.984366471099513,0.6774598605810661,0.18570273419414735,0.5752671259042678,0.3688594104985729,0.21116639452866376,0.47941878490858897,0.48317145318635957,0.3176967299196743,0.16286192036920183,0.6749056747779167,0.4681858992332228,0.2333869855139114,0.32782028036969896,0.3914115471543046,0.5919421487603314,0.4125159642401021,0.2785406845665094,0.46176570390626653,0.6005004170141802,0.43446080382013563
3,0.237732746874794,0.7171479784955623,0.237732746874794,0.6573031388516108,0.24669693454751393,0.4659863716087643,0.5887907710827248,0.5107016883596439,0.4511053579597138,0.6592434957090536,0.335426999981105,0.9017908929898361,0.0,0.44885998625298507,0.056426485506392544,0.24253152518994844,0.44731771702865686,0.03082111895085759,0.21237187131353505,0.5078528322988285,0.0,0.6039912954974606,0.0,0.357969758440921,0.07758659421109056,0.5159585196687774,0.11763403443624434,0.5222340125704094,0.2559357078388398,0.16633118707107167,0.5410852224767264,0.21951217168431897,0.38493265857911274,0.21396427486817074,0.0,0.4399984455961801,0.991094602355662,0.2247328345078833,0.5584091881713196,0.21951217168431897,0.24604462810701835,0.40096073500729756,0.7562729348731215,0.4507223866932312,0.28100498538778507,0.4507223866932312,0.6795424778465649,0.3104819417542949,0.4282490251644733,0.5255648452462516,0.4599293885264753,0.632623153124844,0.7953019109561709,0.5131232522962086,0.44801502816099004,0.301243593603885,0.29422749359092937,0.3294648790105361,0.7451202642983874,0.24611680879549125,0.19333465600531602,0.29327032338275233,0.0,0.14632021891550007,0.8688043694585399,0.4473684210526314,0.095693779904306,0.0,0.23942446918075042,0.0,0.0,0.1195915023258163,0.0,0.28528648432820924,0.47846749219753865,0.358630102893297,0.8982413024120781,0.4023055522648539,0.8059641896041968,0.28817733990147776,0.8612950226720375,0.3103448275862068,0.5823754789272031,0.18374768933100752,0.5591266711706147,0.2844442751784513,0.24473714365719412,0.7170175217005696,0.3468190462381803,0.3425346187034756,0.27857294763030277,0.9945875344143794,0.6802243673365185,0.3764281142796069,0.48404109539343876,0.21724671658555594,0.23918144834824792,0.6878283552390183,0.842094128240379,0.1567416227189904,0.4020340112649805,0.6551280732434933,0.47577327884318144,0.4989652793745693,0.4255516738159467,0.403739469899322,0.4886363636363643,0.40825883354618986,0.24164787866366047,0.4595700512984299,0.550458715596332,0.4272980501392761
4,0.2284891285205086,0.7274693535349576,0.2284891285205086,0.6857496642259358,0.24377882045337185,0.461539200681167,0.520469614618064,0.6213042922033272,0.4669452416683867,0.7498575007625592,0.26582385004392856,0.8783492873984832,0.0,0.44737349573623675,0.09830056386349117,0.28864867392305865,0.3892373487912554,0.027590958012776196,0.201974982933526,0.5896865978823648,0.0,0.5523467070882006,0.0,0.3297958308402632,0.08625312107892512,0.5471914627709359,0.11471082605975069,0.5927317447542809,0.35179028249823135,0.1640114335207905,0.5514596443146442,0.19837576082417502,0.32293844728919385,0.2001601281024824,0.0,0.4070696703889534,0.8890066341302455,0.1660295298865336,0.5247671671033762,0.19837576082417502,0.23282903725751636,0.38119144693694584,0.6968153030364377,0.4262942683344517,0.26662094608229076,0.4262942683344517,0.690194386067065,0.28697803693878104,0.4105318255238819,0.5686361887990732,0.4243707421398642,0.5951742176363574,0.7091561254327041,0.49537159502371975,0.43884166967262345,0.24591957633627262,0.2772385284097175,0.37712265914832444,0.622427688006837,0.21905763064781722,0.2070823477520109,0.3053985928599659,0.0,0.17141774525414544,1.0,0.49551569506726423,0.08968609865470799,0.0,0.4487866731728866,0.0,0.0,0.1570182461395741,0.0,0.28728289079656616,0.4448022610890559,0.3274647467224586,0.8988809038423295,0.45746478579810695,0.8528622029458137,0.29953917050691237,0.8489404628233747,0.2580645161290322,0.442652329749104,0.185059328870763,0.5783163636567352,0.3130936138841556,0.2417714197064367,0.711951265939315,0.3167509740343546,0.1886928704549844,0.25574798197193527,0.9940464973890917,0.7023769859956979,0.33799757793433755,0.5265467125128338,0.33673183470089796,0.18842066935381552,0.748612083712795,0.8135779638911328,0.2932585199258532,0.3380131990555044,0.56736496643449,0.44373767604557823,0.4667739710278228,0.44353542947272234,0.3996301623176496,0.4886363636363643,0.38271604938271603,0.24164787866366047,0.45098704564961456,0.5671392827356146,0.4225228810187031
5,0.2638919458989044,0.6881213490126149,0.2638919458989044,0.7125383236005883,0.2619651990575606,0.4290961744319593,0.5330611031994131,0.6159654723089159,0.5347067953724923,0.7284134475379674,0.5256705269742716,0.7024847367797087,0.0,0.4837492444658571,0.08299777395396472,0.5236892593873674,0.37695169754037494,0.011429425682171973,0.19650030884496533,0.5187312609468225,0.0,0.5180931239851977,0.0,0.30203295852613915,0.1488836781426235,0.5776869461781396,0.12126061409594927,0.5624836160692298,0.2913092913713797,0.17847930826477518,0.6543931567710053,0.2018162087038477,0.11475440885834111,0.3244425605844163,0.0,0.4249867980752385,0.8572692690112211,0.3747374905011018,0.6847585543135424,0.2018162087038477,0.27602696844999824,0.39450862611668985,0.695035795120302,0.5316132732105244,0.2995406163048539,0.5316132732105244,0.6922194205790294,0.3272265986111296,0.5149245495543898,0.6599463339344318,0.39478820293856604,0.6269570082380497,0.7131386342485507,0.43620123103035013,0.41007066796959796,0.20324852161253412,0.2942562708917418,0.2376793619212906,0.5523955541305805,0.4278081166690383,0.291268921465414,0.28116283296786754,0.0,0.10520960694956236,0.6247022243698448,0.7408256880733946,0.0,0.0,0.7651332424889439,0.0,0.09830493102013614,0.20326273807779782,0.0,0.26532241964463965,0.516207543327565,0.42698074938432334,0.8546754743279648,0.3698417767866776,0.800096631912006,0.3277310924369748,0.9238753094871606,0.3529411764705882,0.6623093681917213,0.1856323026118396,0.5667982912033428,0.39430081960612134,0.2601151166302251,0.8496652188471175,0.41609521321131054,0.46050861910866137,0.27772561028838705,0.9987919953101748,0.8927586448415387,0.5357435901033368,0.5307577457299298,0.4707569274168772,0.14634821915892718,0.5537661864499063,0.8101463396576485,0.2673827681676897,0.4211241979615538,0.37336996314830834,0.543927453422396,0.5674507098769611,0.24998894441250616,0.5039038422025891,0.6201164537941407,0.5189442315879097,0.34822709571633526,0.5813289686420896,0.7422852376980839,0.5785117389574219
6,0.5567722031873612,0.3888059218896937,0.5567722031873612,0.7731242447869826,0.5246653828491606,0.3425955839641257,0.3462963002405017,0.8573573727965016,0.3038901781166812,0.4386078314871765,0.270506389783685,0.38838391111607135,0.0,0.6238787108334993,0.5743345419143252,0.18690303341249623,0.1871285087664775,0.20927876513612956,0.35329772609248145,0.2839563589338137,0.1014064799061283,0.39851740155408377,0.0,0.24077971779652593,0.34786333088266813,0.6509589075654303,0.1343337042978173,0.3935514440383294,0.39779863549962957,0.4181319012456984,0.3108786355001666,0.3840382348554702,0.42598258132715455,0.0780498612726658,0.0,0.45123357801751374,0.42154678572339344,0.2026200735498869,0.543617329640408,0.3840382348554702,0.5595415361907399,0.22504946431053785,0.5327184488415336,0.40089159348430997,0.33096795896011844,0.40089159348430997,0.5469878598095252,0.37027317181216574,0.4389433494423227,0.24729301205807785,0.4999996643548163,0.5737671438988466,0.5351730893532496,0.4361455321297387,0.5107498329996225,0.27535246063833746,0.37378678105790086,0.3799033615628409,0.472630459712919,0.2810438095548227,0.4569832851173279,0.22701295402590804,0.029489848251726687,0.6371026198612411,0.25219460169004826,0.53125,0.25,0.825414781297136,0.13899920571882432,0.09406976016030948,0.0,0.24812313996063975,0.0373600121165925,0.19744459972050307,0.3587544842465216,0.3792697057326407,0.6455501646870236,0.30828210405345485,0.6558342199042849,0.2102425876010781,0.8723752757187002,0.150943396226415,0.2788259958071279,0.4486604669877054,0.20933198397861288,0.28551120658124857,0.5239339964285626,0.538369774458942,0.379841819682539,0.5190068591993289,0.4075241698176971,0.738969790060807,0.6205760078149174,0.35187963863119626,0.4334454691751111,0.28990770651693887,0.272933678034651,0.37554624643660467,0.4120612061110919,0.5717618941950596,0.4034470729798212,0.4375044884348803,0.20801990153828834,0.4290294450686997,0.7990831232771712,0.20186973494966104,0.286720510894065,0.18263090676883775,0.3174830907972944,0.16255813489291243,0.24186822351960027,0.14954237962594522
7,0.6540692576323056,0.3005914841027716,0.6540692576323056,0.5475473526510215,0.6145905235248244,0.3934190746381946,0.5518254912076401,0.7799361266179561,0.5248417547819888,0.43664867523434886,0.3198360839542975,0.7206825376280172,0.0,0.4428678219728729,0.28713420256211447,0.26360117696626995,0.21519536980982953,0.1860980626438971,0.22992767403479447,0.5189849450521233,0.07853883694630112,0.4631352718241885,0.0,0.46636795006114906,0.5061351356331403,0.4051425283020202,0.1383953073504434,0.32744745024642,0.3742221627877569,0.5137938813279623,0.5037161796712889,0.2345435444312894,0.3124111283909057,0.42792854973634187,0.0,0.46933154994744525,0.8415153834657664,0.18939686473580866,0.5221310985629354,0.2345435444312894,0.22173314737048652,0.33131892475946745,0.6340025215739786,0.42811726224182334,0.32282831456806393,0.42811726224182334,0.4934419310406348,0.3765610226037604,0.33908644268369653,0.491029315501513,0.4206330111158736,0.5844368727375334,0.6433211348700548,0.341625640085024,0.3175992860587754,0.6709985403956472,0.2955297019445381,0.38775268610002006,0.8091163534373772,0.2083019574481946,0.5114802924697609,0.17241490179182886,0.23890509976082727,0.22580852349512312,0.1915402038152265,0.3227848101265823,0.0,0.0,0.14075868933551813,0.09526051661803595,0.0,0.05693931649400244,0.0,0.23537632261928526,0.3881887582561057,0.3132206131079102,0.5327301041497192,0.32359420155629165,0.6690460120301484,0.35221674876847286,0.7080984805486165,0.1724137931034482,0.21839080459770108,0.2370400168671867,0.21288901494791432,0.45278903827857997,0.6142975392729845,0.6734757159002586,0.3068143149798715,0.3452409555964301,0.3106749602695655,0.9859478325247792,0.6976008680670233,0.4138353096770661,0.4319063356319361,0.47631621574980265,0.33309283412488716,0.27146819821097273,0.2723323277633013,0.5224720757299685,0.06501879227547401,0.5401707643246579,0.42350466375235507,0.3207633938836516,0.5592505785757457,0.3996301623176496,0.45576634109692027,0.3912303107705406,0.4691535150645624,0.42803249565859675,0.4837364470392007,0.39705531237564695
8,0.4844571946329933,0.4531672530603904,0.4844571946329933,0.7758765871414579,0.5032734504216804,0.39569252777932873,0.44872225749610645,0.4298425270434122,0.3308926547341755,0.6834613879723234,0.5027878314599238,0.6296560295956083,0.0,0.2784921465520954,0.06792248287366438,0.5679475606744027,0.6602668058971234,0.2119944775942783,0.23726710845993626,0.4950329321020887,0.022277143577154462,0.6631545022503892,0.0,0.24114778802124617,0.3866360541272995,0.6544416629271798,0.10905612211233559,0.3161109911249793,0.2969367871179676,0.3961049767703233,0.32737803687810396,0.17605495547728373,0.22412404816178383,0.11990268543337118,0.0,0.3080844995063599,0.6980230024109371,0.2838821752133124,0.583305080452514,0.17605495547728373,0.2197059097291066,0.3382074081644158,0.6522889333141526,0.4513230059419404,0.20035285016876592,0.4513230059419404,0.7933764890669383,0.324792455192609,0.36948567200575805,0.23990134949906494,0.557169934319489,0.4643518854291397,0.559621577025527,0.6543856247249029,0.6971128409346631,0.2211287226062456,0.3190864047763361,0.3346602591875976,0.5606510129035032,0.428358505753595,0.3716150500163497,0.2922913571149032,0.24300647486401758,0.06562430419171535,0.5195425270867952,0.18240343347639434,0.17167381974248797,0.4637523546889865,0.21476272128230295,0.1937917805877637,0.0,0.02422582338956452,0.0,0.33918945897384706,0.4688900960750562,0.3138015641016663,0.6885466600838337,0.26140397393498366,0.688994324658364,0.2960662525879916,0.610777971904994,0.5507246376811594,0.5201288244766507,0.04402643743506337,0.2858914714059231,0.2927899259019906,0.5021480963633845,0.6372338799972055,0.2999825891345515,0.5970620236311946,0.21761181872290392,0.6838678856405832,0.7165072098138711,0.5262504099604549,0.44922556307226985,0.4281875349848082,0.6758960746552496,0.3465026117639802,0.8255632730338507,0.3074255981831408,0.5192566961308958,0.46242185974187056,0.3746448713848436,0.35950293420776414,0.6056840460502073,0.31436202999794544,0.2876596543951919,0.2592592592592593,0.2518958803033407,0.25078344877143316,0.3669724770642212,0.21002785515320355
9,0.7100149069226517,0.24548456765579227,0.7100149069226517,0.796887204167908,0.7273048244710809,0.32488360702094765,0.5047889289903801,0.3444770140850103,0.7122579044092281,0.5482464213403742,0.47086782251473497,0.4052556594432603,0.0,0.32273061831026134,0.4413939784993495,0.42193389387596697,0.5416152998899929,0.15259361533405855,0.3296246792326033,0.5309298936370185,0.11883144781452944,0.5307759848913233,0.0,0.21854113480409892,0.5964000550250806,0.6815068393504687,0.12694127515542258,0.29688608879536965,0.3797433999617627,0.6430661030568492,0.43557190800222095,0.4798453216292452,0.4380287788954787,0.4432117122269256,0.6785714285714286,0.3002471555797951,0.5783127219128527,0.3395747362671256,0.622631211667243,0.4798453216292452,0.8546439613438329,0.4191173498219105,0.6819039139884855,0.45058783238102046,0.797771471432609,0.45058783238102046,0.8154448147711192,0.3334383016304394,0.46466476023735775,0.4141067265673511,0.4528528020438303,0.5482991055659405,0.764285426040637,0.4869677714843256,0.4796055483410467,0.2589333147857697,0.4146374851985825,0.4163796344120857,0.3918775622684136,0.46985652371394504,0.4244426796755366,0.23368980561490502,0.31224545207711113,0.1499064987908803,0.4821367385250926,0.4583333333333327,0.294117647058822,0.0,0.24529271597439556,0.2213406121419071,0.0,0.025845231529890805,0.0,0.2733080455180675,0.47653294789879364,0.3951813867895146,0.4851813713182256,0.38020433556343497,0.7513680699451782,0.4311224489795918,0.643354703817885,0.6785714285714285,0.4523809523809523,0.2746910823767622,0.15899655240427554,0.38691042096004075,0.7272127403072303,0.5969571269894017,0.38590700240515285,0.3706431906427568,0.29787257268002904,0.8842552288454106,0.6320276694378217,0.4973641396652897,0.3333091366248724,0.521396047091746,0.3489083553802472,0.3872681481447889,0.3708417573747165,0.24350930672414595,0.30173186275619884,0.6838674004732023,0.43937192190492735,0.5167854679236611,0.5352231017556274,0.42428600780768455,0.4839406461307295,0.438058748403576,0.5265423242467717,0.4424040400007992,0.5004170141784836,0.39307600477516946
10,0.6550537852508913,0.29506806392510043,0.6550537852508913,0.6586607296076438,0.6576078195626784,0.3838005799461656,0.3595910451515469,0.5547916834510275,0.41330048272352665,0.46458257010610204,0.2943839050292261,0.3848037759120554,0.0,0.2340976880894904,0.34777392131936535,0.3630129019318992,0.42394078693375403,0.34357419167622966,0.5441873598075262,0.34328490631356956,0.0958922613141691,0.5595378453026626,0.012152407571807397,0.35708066088061663,0.5857422020084851,0.5174234118018455,0.12342031174514818,0.24167694860989322,0.2900815937390723,0.5617114851225973,0.35993057223724645,0.29423676718325165,0.3243324758191041,0.0,0.0,0.28734575596541767,0.45602975077199165,0.13719966737842915,0.3304797200849529,0.29423676718325165,0.2539382123531718,0.2584573732844259,0.5888888707889642,0.33475500166511796,0.2933332428136634,0.33475500166511796,0.4397338669571494,0.38055479091541805,0.26544025423526807,0.4313592964453194,0.5721489424009584,0.3870046614430573,0.5166209184068737,0.3678344108688906,0.35909464969087795,0.3481650122318885,0.5208423120418763,0.5007696554955074,0.5917897172157769,0.3021032921619636,0.1222970432963412,0.2885757890159851,0.2399174095055766,0.22676533927264492,0.41676226550474077,0.4322033898305081,0.16949152542372797,0.07630953293964246,0.49474293560937604,0.09566416287489209,0.0,0.06517523720493318,0.12364965402264605,0.23537632261928526,0.28875848142197963,0.23479968979408225,0.5232244200608632,0.4151700432167494,0.8220212622037554,0.48336594911937375,0.30971751826876137,0.1643835616438356,0.28919330289193307,0.3955983235755944,0.16006260174602085,0.4489776359353796,0.6572656063182758,0.5141126074463105,0.23251329014280703,0.24112754727041008,0.3537205855758189,0.8965713404558447,0.5443120110699293,0.23254537778100282,0.37102045008480095,0.4027571176561896,0.6334991835859957,0.3018562719794803,0.18703411091084907,0.6226721998425649,0.2799493505047027,0.3679972605558084,0.29068510074758425,0.2265360955281802,0.6699538613481922,0.2583727141976578,0.4172614575507143,0.2464878671775223,0.5121951219512192,0.30048503962154993,0.3002502085070901,0.24902506963788326
